id,night,time,ann_id,label,FD-Fpz,FD-Pz,HFD-Fpz,HFD-Pz,KFD-Fpz,KFD-Pz,DFA-a1-Fpz,DFA-a2-Fpz,DFA-a1-Pz,DFA-a2-Pz,H-Fpz,H-Pz,ApEn-m1-Fpz,ApEn-m2-Fpz,ApEn-m1-Pz,ApEn-m2-Pz,SampEn-m1-Fpz,SampEn-m2-Fpz,SampEn-m1-Pz,SampEn-m2-Pz,MSE-tau2-Fpz,MSE-tau3-Fpz,MSE-tau4-Fpz,MSE-tau5-Fpz,MSE-tau6-Fpz,MSE-tau2-Pz,MSE-tau3-Pz,MSE-tau4-Pz,MSE-tau5-Pz,MSE-tau6-Pz
18,2,2859000,0,1,1.4584093999999999,1.6018088,1.6959502,1.9678801,1.0185918999999999,1.0457263,1.2626768,1.2075216999999998,0.61222625,0.7928728,0.82874346,0.7817688,2.1928362999999997,1.6642591,2.7906459999999997,1.7711689999999998,2.0632126,1.9340247,2.7178117999999998,2.681605,1.730276,1.77098,1.8606596000000002,2.0106611,2.0337715,2.2875523999999996,2.2928462000000005,2.1444871,2.2575697999999997,2.0443397
18,2,2862000,0,1,1.4619627,1.5870372,1.6943337,1.9641209,1.0165715,1.052694,1.2299447000000001,1.218895,0.5976038,0.80840415,0.86409503,0.73742557,2.2176387,1.6622221000000001,2.7188747,1.8078206,2.0430794,1.9305793000000002,2.6380525,2.5974667,1.8388749,1.8459574,1.9140158999999999,1.9547259999999997,1.8310503,2.2154026,2.1141748,1.9737886000000002,1.9630120999999998,1.9650706000000002
18,2,2865000,0,1,1.4599555,1.6020344,1.6914542000000001,1.9597591,1.0155209,1.0393744,1.2247649999999999,1.2905664,0.62956476,0.91421443,0.86222035,0.83394533,2.2376897000000002,1.6973208999999998,2.8570125,1.7469406000000003,2.0713077,1.9869751,2.8170478,2.7962556,1.8502303,1.844754,1.856813,1.7981706999999998,1.90704,2.44602,2.3098817000000005,2.2462482,2.2473647999999997,2.0045106
18,2,2868000,0,1,1.455933,1.5855496,1.7077392,1.9535199,1.0145594,1.043333,1.2962672,1.1533033000000001,0.67860967,0.8039853,0.8370936999999999,0.75395036,2.291241,1.6890165000000001,2.7817256,1.7526401000000003,2.130468,1.9950202000000001,2.7157577999999996,2.6693312999999996,1.9483702,1.9309337,2.0150957,1.9760631000000002,2.123424,2.315835,2.2420709999999997,2.2196708,2.3393252,2.088437
18,2,2871000,0,1,1.4540066,1.6041031000000001,1.6879746999999998,1.9715799999999999,1.0165169,1.0463849,1.3043368,1.2981095,0.5844505999999999,0.80536276,0.7731595,0.8213643,2.1651029999999998,1.6816691000000004,2.7950107999999996,1.7883077,2.0156655,1.9369789000000002,2.7442992000000004,2.7297802000000004,1.7361395,1.7677515,1.7494098999999999,1.7774025000000002,1.8048650000000002,2.3845375,2.363151,2.2403017999999997,2.2450237,2.123259
18,2,2874000,0,1,1.5098577,1.6058203000000002,1.7653607,1.9722435,1.0209521000000001,1.0421959,1.1315539,1.1418909,0.58936477,0.7895165,0.8408184999999999,0.7652806999999999,2.4028254000000002,1.6999866999999997,2.772639,1.8079911,2.2483435000000003,2.0985832,2.6844735,2.6634443,1.8900557,1.8123788,1.8904942999999998,1.9305273999999997,1.7270342,2.3789096,2.236529,2.1053995999999997,2.030724,1.9495354999999999
18,2,2877000,0,1,1.5026323000000001,1.5989001,1.7389273999999997,1.9678725,1.0262879999999999,1.0424426,1.1764159,1.1481355,0.6336111999999999,0.7576064,0.84492904,0.77898294,2.4309003,1.7385401999999999,2.7501738,1.7939011999999999,2.298568,2.155793,2.6810098,2.6133144,1.8798499,1.8961195,1.9737338,1.9079981,1.8046853999999999,2.38414,2.2189658,2.256405,2.0912759999999997,2.0510912
18,2,2880000,0,1,1.4802343999999998,1.6007171,1.7292398000000002,1.9615439,1.0168760000000001,1.0442863000000002,1.2562653,1.1949258999999999,0.58197075,0.8129174,0.80934167,0.74680716,2.3052921000000004,1.7086919999999999,2.7586720000000002,1.7487555000000001,2.1548076000000003,2.0460145,2.6585915,2.5513939999999997,1.8751786,1.852754,1.8057634999999999,1.9332900000000002,1.8412548,2.276563,2.1904366000000004,2.0931293999999996,1.98475,2.0575924
18,2,2883000,0,1,1.5179258999999998,1.5869773999999999,1.7671907,1.9623883999999998,1.0254477,1.0650826999999998,1.0461296999999998,1.1911911,0.5658727,0.72777086,0.84648603,0.7764106,2.388748,1.7155565,2.6965811,1.7652973,2.2586637,2.105275,2.5766728,2.5034885,1.9263381999999998,1.840786,1.847745,1.7724567999999998,1.9374713,2.1246588,2.0323837,1.9275401,1.9908723000000002,1.9028903000000001
18,2,2886000,0,1,1.4595366,1.5913819,1.6594511000000003,1.9714837,1.0161618000000001,1.0395652,1.3693496,1.2571725,0.59965754,0.75684816,0.8759690999999998,0.77617687,2.1955574,1.6755185000000001,2.774713,1.7708139999999999,2.0582135,1.9238422999999998,2.711491,2.6629004000000003,1.7254981,1.7804984000000001,1.7074945,1.7602315,1.8793895,2.3937187,2.2561736,2.203131,2.1290972000000004,2.0953035
18,2,2889000,0,1,1.4390234,1.574637,1.612493,1.9514072,1.0199335999999999,1.0432683,1.3832387,1.3046514,0.69573665,0.8062009,0.86339235,0.7464968000000001,2.1384826,1.6435727,2.7750547,1.7736813000000002,1.9839828999999998,1.867386,2.712748,2.6364367000000004,1.7035639,1.6034287,1.6068671,1.647284,1.6427479,2.4394145000000003,2.2284772,2.1479242000000003,2.1165357000000005,2.0658696
18,2,2892000,0,1,1.4772301,1.5932885,1.7080531000000003,1.967432,1.0183803,1.0342156999999998,1.2957308,1.1646208999999998,0.6543945,0.78893715,0.83293796,0.8341049,2.2473886000000003,1.6962968999999997,2.8178446,1.7484563999999998,2.109887,1.9688765,2.7593207000000004,2.7102838,1.8498737,1.7331308,1.7620387,1.844602,1.8314799,2.4084659,2.3108237000000003,2.3367283,2.1281807,2.13691
18,2,2895000,0,1,1.4864315000000001,1.5808555,1.7052858,1.9495677,1.0177268,1.0408815999999999,1.2267988,1.2676762,0.6034719,0.92139745,0.8414306999999999,0.7149791999999999,2.2378,1.6459743999999998,2.7334597,1.7528495,2.0558520000000002,1.9083178,2.633856,2.5322473,1.718405,1.6290189,1.6644870999999999,1.775781,1.6958080000000002,2.292383,2.2096016,2.1296031,2.0567048,1.9828147
18,2,2898000,0,1,1.4836419,1.5908415,1.7222271,1.9517901999999998,1.0195451,1.0389175,1.2156075000000002,1.2244986,0.69448817,0.7502522,0.8625105,0.74435925,2.284771,1.6772716,2.7972052000000005,1.7679243000000002,2.0948102,1.9765433999999997,2.7634279999999998,2.718531,1.8685716,1.7577173,1.7422783,1.8993435,2.011761,2.40184,2.26095,2.1651017999999995,2.2147117,2.1968857999999996
18,2,2901000,0,1,1.4268506,1.5895841,1.6008481,1.9529053,1.0177825999999999,1.0475605,1.39929,1.2415155,0.6082804,0.8655937,0.8783620000000001,0.75869423,2.0471945,1.5863638,2.7648504000000003,1.7689843,1.9016776000000002,1.748441,2.6776102,2.6108544,1.5632238,1.5779033000000002,1.6975452000000002,1.6687691999999998,1.6972098000000002,2.329181,2.197902,2.1223087000000005,2.1300974,1.9842491999999998
18,2,2904000,0,1,1.5114485,1.6008712999999999,1.7469613999999998,1.9514188000000001,1.0222789,1.0404078,1.0629959999999998,1.3088558000000001,0.60642785,0.8881472,0.80403787,0.74379796,2.3841906,1.7226695,2.7090402,1.8393612000000001,2.259399,2.1246958,2.6344104,2.6115477000000005,1.9497533999999999,1.8929877,1.760825,1.8981017,1.8976433999999998,2.3558464,2.15267,2.0702412,1.9334577000000002,2.0994692
18,2,2907000,0,1,1.4926066,1.6064566,1.7242619,1.9623019,1.0196732,1.0447601,1.224892,1.1928787,0.55842584,0.8481917999999999,0.8144132,0.7507636,2.3588917,1.72354,2.753732,1.7627631000000001,2.2319303,2.112474,2.6943085,2.6163237,1.9318959999999998,1.8633131999999997,1.7608491999999998,1.8943638999999999,2.01559,2.2614555,2.235636,2.0189488,1.9578863000000002,1.9625261999999999
18,2,2910000,0,1,1.4730027,1.5863907,1.6925586,1.9570243000000003,1.0168202,1.0488123,1.2671312,1.1308386000000001,0.59806174,0.7416433000000001,0.8419568000000001,0.7475008000000001,2.2683911,1.717212,2.74146,1.7964093999999997,2.1563217999999997,2.0354389999999998,2.6581962000000003,2.6225362000000003,1.7747188000000003,1.7574341,1.7439429,1.8310988999999998,1.9158357,2.3488626,2.2165947,2.2055067999999998,2.2072540000000003,2.131831
